AccountStatus,Duration,CreditHistory,Purpose,CreditAmount,Account,EmploymentSince,PrecentOfIncome,PersonalStatus,OtherDebtors,ResidenceSince,Property,Age,OtherInstallPlans,Housing,NumExistingCredits,Job,NumMaintenance,Telephone,ForeignWorker,sexe
2,18,1,2,3422,1,0,4,0,0,4,1,47,1,0,3,0,2,0,0,0
1,12,3,9,1410,1,1,2,0,0,2,0,31,0,0,1,1,1,0,0,0
1,18,1,4,2779,1,1,1,3,0,3,3,21,0,2,1,0,1,0,0,0
2,10,1,9,894,0,2,4,1,0,3,1,40,0,0,1,0,1,0,0,1
1,24,0,2,4736,1,4,2,1,0,4,3,25,1,0,1,1,1,1,0,1
2,9,1,3,2507,2,0,2,0,0,4,2,51,0,1,1,1,1,1,0,0
0,6,0,3,860,1,0,1,1,0,4,2,39,0,0,2,0,1,0,0,1
1,7,1,0,2415,1,1,3,0,1,2,0,34,0,0,1,0,1,1,0,0
3,18,1,2,2864,1,1,2,0,0,1,0,34,0,0,1,1,2,1,0,0
1,24,1,4,2760,0,0,4,0,0,4,2,36,1,1,1,0,1,0,0,0
0,42,1,0,3965,1,4,4,0,0,3,3,34,0,0,1,0,1,1,0,0
1,6,1,0,1068,1,0,4,0,0,4,3,28,0,0,1,0,2,1,0,0
0,42,0,7,3394,1,3,4,0,2,4,3,65,0,0,2,3,1,1,0,0
0,24,2,3,1333,1,3,4,0,0,2,0,43,0,1,2,0,2,1,0,0
2,12,1,0,1262,1,1,3,0,0,2,3,25,0,0,1,0,1,1,0,0
1,18,0,2,1928,1,4,2,0,0,2,0,31,0,0,2,1,1,1,0,0
2,24,2,5,8648,1,4,2,0,0,2,3,27,1,0,2,0,1,0,0,0
2,15,0,0,1829,1,0,4,0,0,4,3,46,0,0,2,0,1,0,0,0
0,36,4,2,2746,1,0,4,0,0,4,3,31,1,0,1,0,1,1,0,0
3,6,0,1,1047,1,1,2,1,0,4,1,50,0,0,1,1,1,1,0,1
2,24,1,0,2397,2,0,3,0,0,2,3,35,1,0,2,0,1,0,0,0
2,6,1,2,1543,3,1,4,2,0,2,0,33,0,0,1,0,1,1,0,0
2,15,2,2,960,3,2,3,1,0,2,1,30,0,0,2,0,1,1,0,1
3,18,1,3,1961,1,0,3,1,0,2,3,23,0,0,1,2,1,1,0,1
1,24,2,5,6967,4,2,4,0,0,4,3,36,0,2,1,2,1,0,0,0
0,21,1,2,3599,1,2,1,1,0,4,3,26,0,2,1,1,1,1,0,1
2,60,2,0,15653,1,2,2,0,0,4,3,21,0,0,2,0,1,0,0,0
0,9,0,0,1138,1,1,4,0,0,4,0,25,0,0,2,1,1,1,0,0
2,27,2,4,8613,3,1,2,0,0,2,3,27,0,0,2,0,1,1,0,0
2,15,1,6,1262,2,2,4,0,0,3,1,36,0,0,2,0,1,0,0,0
0,6,1,1,448,1,4,4,1,0,4,1,23,0,0,1,0,1,1,0,1
1,24,1,3,3512,4,2,2,0,0,3,3,38,1,0,2,0,1,0,0,0
2,10,1,3,1309,0,1,4,0,1,4,1,27,0,0,1,1,1,1,0,0
2,6,0,0,1898,0,1,1,0,0,2,0,34,0,0,2,1,2,1,0,0
2,24,0,0,5103,1,4,3,3,0,3,2,47,0,1,3,0,1,0,0,0
1,9,0,1,1501,1,0,2,1,0,3,3,34,0,0,2,2,1,0,0,1
1,36,2,5,4455,1,1,2,2,0,2,0,30,2,0,2,2,1,0,0,0
2,10,0,2,2069,0,1,2,3,0,1,3,26,0,0,2,0,1,1,1,0
2,12,1,0,1493,1,4,4,1,0,3,3,34,0,0,1,0,2,1,0,1
1,24,0,4,7758,3,0,2,1,0,4,2,29,0,2,1,0,1,1,0,1
2,30,1,0,1867,0,0,4,0,0,4,3,58,0,0,1,0,1,0,0,0
0,42,1,0,7174,0,2,4,1,0,3,3,30,0,0,1,2,1,0,0,1
2,60,1,3,6527,0,1,4,0,0,4,2,34,0,1,1,0,2,0,0,0
2,6,0,0,1740,1,0,2,3,0,2,0,30,0,2,2,0,1,1,0,0
1,13,1,0,2101,1,4,2,1,1,4,1,23,0,0,1,1,1,1,0,1
0,24,1,2,3234,1,4,4,1,0,4,0,23,0,2,1,1,1,0,0,1
2,42,0,2,4042,2,1,4,0,0,4,0,36,0,0,2,0,1,0,0,0
1,48,3,5,3844,4,2,4,0,0,4,2,34,0,1,1,1,2,1,0,0
1,30,2,0,1919,4,4,4,0,0,3,2,30,2,0,2,2,1,1,0,0
3,24,0,3,1344,0,2,4,0,0,2,0,37,1,0,2,1,2,1,0,0
0,12,0,0,385,1,2,4,1,0,3,0,58,0,0,4,1,1,0,0,1
2,24,1,5,1258,1,2,4,0,0,1,0,25,0,0,1,0,1,0,0,0
0,12,3,0,6199,1,1,4,0,0,2,1,28,0,2,2,0,1,0,0,0
1,10,4,0,1048,1,1,4,0,0,4,0,23,2,0,1,1,1,1,0,0
2,24,0,4,4042,0,2,3,0,0,4,1,43,0,0,2,0,1,0,0,0
2,9,1,2,2301,4,4,2,1,0,4,1,22,0,2,1,0,1,1,0,1
0,13,0,5,1797,1,4,3,0,0,1,1,28,1,0,2,1,1,1,0,0
2,36,2,5,9572,1,4,1,2,0,1,3,28,0,0,2,0,1,1,0,0
2,12,1,0,2279,0,1,4,0,0,4,2,37,0,1,1,0,1,0,0,0
1,12,1,0,1155,1,0,3,3,1,3,0,40,1,0,2,1,1,1,0,0
1,6,0,9,932,0,2,1,1,0,3,1,39,0,0,2,1,1,1,0,1
0,36,1,2,3959,1,3,4,0,0,3,1,30,0,0,1,2,1,0,0,0
0,15,2,2,3643,1,0,1,1,0,4,1,27,0,0,2,1,1,1,0,1
1,30,0,3,2181,0,0,4,0,0,4,0,36,0,0,2,0,1,1,0,0
2,12,0,0,522,2,0,4,0,0,4,1,42,0,0,2,0,2,0,0,0
2,12,1,3,1386,2,1,2,1,0,2,1,26,0,0,1,0,1,1,0,1
0,24,1,3,1381,0,1,4,1,0,2,1,35,0,0,1,0,1,1,0,1
0,24,4,2,6872,1,4,2,2,0,1,1,55,1,0,1,0,1,0,0,0
3,10,1,3,1240,4,0,1,1,0,4,2,48,0,1,1,1,2,1,0,1
2,15,0,0,1360,1,1,4,0,0,2,1,31,0,0,2,0,1,1,0,0
0,18,4,0,1940,1,4,3,0,2,4,2,36,1,1,1,2,1,0,0,0
2,60,1,3,10366,1,0,2,0,0,4,1,42,0,0,1,2,1,0,0,0
