AccountStatus,Duration,CreditHistory,Purpose,CreditAmount,Account,EmploymentSince,PrecentOfIncome,PersonalStatus,OtherDebtors,ResidenceSince,Property,Age,OtherInstallPlans,Housing,NumExistingCredits,Job,NumMaintenance,Telephone,ForeignWorker,sexe
1,39,2,1,11760,4,2,2,0,0,3,2,32,0,2,1,0,1,0,0,0
1,18,3,2,3244,1,1,1,1,0,4,3,33,1,0,2,0,1,0,0,1
1,12,0,2,3617,1,0,1,0,0,4,3,28,0,2,3,0,1,0,0,0
1,6,1,7,454,1,4,3,3,0,1,1,22,0,0,1,1,1,1,0,0
0,12,1,2,1282,1,1,2,1,0,4,3,20,0,2,1,0,1,1,0,1
2,39,1,4,8588,4,0,4,0,0,2,3,45,0,0,1,2,1,0,0,0
1,12,1,3,7472,0,3,1,1,0,2,0,24,0,2,1,3,1,1,0,1
2,24,2,5,2375,2,1,4,0,0,2,3,44,0,0,2,0,2,0,0,0
1,48,1,2,9960,1,4,1,1,0,2,3,26,0,0,1,0,1,0,0,1
0,30,0,4,6187,4,2,1,3,0,4,3,24,0,2,2,0,1,1,0,0
2,36,0,4,10477,0,0,2,0,0,4,2,42,0,1,2,0,1,1,0,0
2,12,0,0,717,1,0,4,0,0,4,0,52,0,0,3,0,1,1,0,0
2,18,1,3,6761,0,1,2,0,0,4,3,68,0,2,2,0,1,1,0,0
1,10,1,2,1521,1,1,4,2,0,2,3,31,0,0,1,1,1,1,0,0
0,48,0,4,6331,1,0,4,0,0,4,2,46,0,1,2,0,1,0,0,0
1,36,1,3,14318,1,0,4,0,0,2,2,57,0,1,1,2,1,0,0,0
0,11,0,3,3939,1,1,1,0,0,2,0,40,0,0,2,1,2,1,0,0
0,15,3,3,950,1,0,4,0,0,3,3,33,0,2,2,0,2,1,0,0
0,12,1,2,652,1,0,4,1,0,4,1,24,0,2,1,0,1,1,0,1
0,12,1,0,727,4,4,4,3,0,3,2,33,0,0,1,1,1,0,0,0
3,9,3,0,1337,1,4,4,0,0,2,3,34,0,0,2,2,1,0,0,0
0,30,1,2,3108,1,4,2,2,0,4,1,31,0,0,1,1,1,1,0,0
1,12,1,3,1318,3,0,4,0,0,4,0,54,0,0,1,0,1,0,0,0
2,30,2,5,4272,4,1,2,0,0,2,1,26,0,0,2,1,1,1,0,0
2,12,0,0,2331,0,0,1,0,2,4,0,49,0,0,1,0,1,0,0,0
1,7,1,0,2576,1,1,2,0,1,2,0,35,0,0,1,0,1,1,0,0
2,10,0,3,1231,1,0,3,0,0,4,0,32,0,0,2,1,2,1,1,0
1,9,1,2,2030,0,2,2,0,0,1,3,24,0,0,1,0,1,0,0,0
2,12,0,2,1935,1,0,4,0,0,4,0,43,0,0,3,0,1,0,0,0
0,48,1,0,6999,1,2,1,3,1,1,0,34,0,0,2,0,1,0,0,0
2,9,1,2,1980,1,4,2,1,2,2,3,19,0,2,2,0,1,1,0,1
2,12,1,4,1413,3,2,3,0,0,2,1,55,0,0,1,0,1,1,1,0
0,28,1,3,4006,1,1,3,0,0,2,3,45,0,0,1,1,1,1,0,0
1,9,1,0,458,1,1,4,0,0,3,0,24,0,0,1,0,1,1,0,0
0,30,3,2,4583,1,1,2,2,1,2,0,32,0,0,2,0,1,1,0,0
1,15,1,0,1444,0,4,4,0,0,1,1,23,0,0,1,0,1,1,0,0
0,12,3,3,1082,1,1,4,0,0,4,3,48,1,0,2,0,1,1,0,0
2,11,0,3,7228,1,1,1,0,0,4,1,39,0,0,2,1,1,1,0,0
1,18,0,0,1795,1,0,3,1,1,4,0,48,1,2,2,1,1,0,0,1
0,18,1,2,3650,1,4,1,1,0,4,3,22,0,2,1,0,1,1,0,1
2,24,0,0,1516,3,1,4,1,0,1,0,43,0,0,2,1,1,1,0,1
3,12,1,0,3399,0,0,2,0,0,3,3,37,0,0,1,2,1,1,0,0
2,36,0,3,3535,1,2,4,0,0,4,3,37,0,0,2,0,1,0,0,0
2,9,1,3,3577,4,1,1,0,1,2,0,26,0,2,1,0,2,1,1,0
0,30,0,4,10623,1,0,3,0,0,4,2,38,0,1,3,2,2,0,0,0
0,30,1,2,2406,1,2,4,1,0,4,0,23,0,2,1,0,1,1,0,1
2,6,0,2,1221,0,1,1,3,0,2,1,27,0,0,2,0,1,1,0,0
2,15,2,4,3594,1,4,1,1,0,2,1,46,0,0,2,1,1,1,0,1
2,10,1,3,1546,1,1,3,0,0,2,0,31,0,0,1,1,2,1,1,0
3,36,1,0,5848,1,1,4,0,0,1,3,24,0,0,1,0,1,1,0,0
1,11,2,0,4771,1,2,2,0,0,4,1,51,0,0,1,0,1,1,0,0
0,18,0,7,1190,1,3,2,1,0,4,2,55,0,1,3,3,2,1,0,1
1,8,1,2,1237,1,1,3,1,0,4,0,24,0,0,1,0,1,1,0,1
2,10,1,1,727,2,0,4,0,0,4,2,46,0,1,1,0,1,0,0,0
1,8,1,0,1414,1,1,4,0,1,2,0,33,0,0,1,0,1,1,1,0
2,24,1,0,3430,2,0,3,0,0,2,3,31,0,0,1,0,2,0,0,0
1,72,1,0,5595,4,1,2,3,0,2,3,24,0,0,1,0,1,1,0,0
1,45,0,0,4746,1,4,4,0,0,2,1,25,0,0,2,1,1,1,0,0
1,9,4,4,5129,1,0,2,1,0,4,2,74,1,1,1,2,2,0,0,1
2,12,3,2,2759,1,0,2,0,0,4,1,34,0,0,2,0,1,1,0,0
0,24,4,4,3632,1,1,1,1,1,4,3,22,1,2,1,0,1,1,1,1
1,48,1,0,5951,1,1,2,1,0,2,0,22,0,0,1,0,1,1,0,1
2,18,1,0,1453,1,4,3,1,0,1,0,26,0,0,1,0,1,1,0,1
2,7,0,0,730,0,0,4,0,0,2,1,46,0,2,2,1,1,0,0,0
2,12,0,2,1592,3,2,3,1,0,2,1,35,0,0,1,0,1,1,1,1
0,6,0,0,1957,1,2,1,1,0,4,3,31,0,0,1,0,1,1,0,1
0,12,1,2,1620,1,1,2,1,2,3,1,30,0,0,1,0,1,1,0,1
2,22,1,3,1283,0,2,4,1,0,4,1,25,0,2,1,0,1,1,0,1
2,12,1,2,763,1,1,4,1,0,1,0,26,0,0,1,0,1,0,0,1
3,24,1,2,3749,1,4,2,1,0,4,3,26,0,0,1,0,1,1,0,1
0,30,1,2,6350,0,0,4,0,0,4,1,31,0,0,1,0,1,1,0,0
2,36,1,0,3595,1,0,4,0,0,2,3,28,0,0,1,0,1,1,0,0
2,15,1,3,3186,3,2,2,1,0,3,3,20,0,2,1,0,1,1,0,1
0,12,1,0,1680,2,0,3,3,0,1,0,35,0,0,1,0,1,1,0,0
2,54,3,4,9436,0,1,2,0,0,2,1,39,0,0,1,1,2,1,0,0
0,24,1,0,1282,4,1,4,1,0,2,3,32,0,0,1,1,1,1,0,1
1,6,2,2,1050,1,3,4,0,0,1,1,35,2,0,2,2,1,0,0,0
0,18,0,2,2124,1,1,4,1,0,4,0,24,0,2,2,0,1,1,0,1
1,48,3,5,12204,0,1,2,0,0,2,3,48,1,0,1,2,1,0,0,0
2,12,1,2,1768,1,1,3,0,0,2,0,24,0,2,1,1,1,1,0,0
2,48,0,4,11590,4,1,2,1,0,4,3,24,1,2,2,1,1,1,0,1
0,12,1,0,701,1,1,4,3,0,2,0,40,0,0,1,1,1,1,0,0
1,18,1,5,2622,4,1,4,0,0,4,3,34,0,0,1,0,1,1,0,0
1,60,2,0,7418,0,1,1,0,0,1,0,27,0,0,1,1,1,1,0,0
1,27,0,0,2520,2,1,4,0,0,2,1,23,0,0,2,1,1,1,0,0
2,18,1,2,1984,1,1,4,0,0,4,2,47,1,1,2,0,1,1,0,0
2,22,1,0,2675,2,0,3,0,0,4,3,40,0,0,1,0,1,1,0,0
2,15,1,6,874,0,4,4,1,0,1,0,24,0,0,1,0,1,1,0,1
1,14,1,5,1410,2,0,1,3,0,2,0,35,0,0,1,0,1,0,0,0
2,24,0,4,2197,0,2,4,0,0,4,3,43,0,0,2,0,2,0,0,0
1,18,1,5,4439,1,0,1,0,2,1,0,33,1,0,1,2,1,0,0,0
2,24,2,2,4151,4,1,2,0,0,3,1,35,0,0,2,0,1,1,0,0
1,18,0,2,7374,1,3,4,0,0,4,1,40,2,0,2,2,1,0,0,0
1,12,0,3,958,1,2,2,0,0,3,0,47,0,0,2,1,2,1,0,0
0,12,1,3,2579,1,4,4,0,0,1,0,33,0,0,1,1,2,1,0,0
0,6,0,3,609,1,2,4,1,0,3,1,37,0,0,2,0,1,1,1,1
2,24,0,0,2424,0,0,4,0,0,4,1,53,0,0,2,0,1,1,0,0
1,12,1,5,841,4,2,2,1,0,4,0,23,0,2,1,1,1,1,0,1
0,24,3,2,4110,1,0,3,0,0,4,2,23,1,2,2,0,2,1,0,0
2,6,0,3,362,4,1,4,1,0,4,3,52,0,0,2,1,1,1,0,1
1,12,1,0,2930,1,2,2,1,0,1,0,27,0,0,1,0,1,1,0,1
1,24,1,4,12579,1,0,4,1,0,2,2,44,0,1,1,2,1,0,0,1
1,36,1,1,3711,0,1,2,3,0,2,3,27,0,0,1,0,1,1,0,0
2,12,0,2,1402,2,2,3,1,0,4,3,37,0,2,1,0,1,0,0,1
1,24,1,0,3092,4,4,3,3,0,2,3,22,0,2,1,0,1,0,0,0
2,24,1,0,3181,1,4,4,1,0,4,1,26,0,0,1,0,1,0,0,1
0,24,1,4,6579,1,3,4,0,0,2,2,29,0,1,1,2,1,0,0,0
1,18,2,5,2427,0,0,4,0,0,2,1,42,0,0,2,0,1,1,0,0
0,12,1,2,1262,0,0,2,2,0,4,1,49,0,0,1,1,1,0,0,0
1,6,2,3,1209,1,3,4,0,0,4,1,47,0,0,1,2,1,0,0,0
0,12,1,3,1228,1,1,4,1,0,2,0,24,0,0,1,1,1,1,0,1
1,11,1,2,1577,3,4,4,1,0,1,0,20,0,0,1,0,1,1,0,1
0,18,1,0,3509,1,2,4,1,1,1,0,25,0,0,1,0,1,1,0,1
2,60,1,0,10144,4,2,2,1,0,4,0,21,0,0,1,0,1,0,0,1
2,18,0,3,1055,1,4,4,1,0,1,1,30,0,0,2,0,1,1,0,1
1,12,0,4,1860,1,3,4,0,0,2,3,34,0,0,2,2,1,0,0,0
1,12,2,0,585,1,1,4,3,2,4,0,20,0,2,2,0,1,1,0,0
2,18,1,0,1473,1,4,3,3,0,4,0,39,0,0,1,0,1,0,0,0
2,24,1,4,9277,0,1,2,2,0,4,2,48,0,1,1,0,1,0,0,0
0,6,0,3,4716,0,4,1,0,0,3,0,44,0,0,2,1,2,1,0,0
1,24,1,2,4057,1,2,3,2,0,3,3,43,0,0,1,0,1,0,0,0
2,36,0,0,9566,1,1,2,1,0,2,3,31,2,0,2,0,1,1,0,1
0,18,3,2,3114,1,4,1,1,0,4,1,26,0,2,1,0,1,1,0,1
1,18,1,5,1941,3,1,4,0,0,2,1,35,0,0,1,1,1,0,0,0
3,15,1,1,392,1,4,4,1,0,4,1,23,0,2,1,0,1,0,0,1
0,21,1,0,2606,1,4,4,1,0,4,1,28,0,2,1,2,1,0,0,1
2,15,0,4,3368,3,0,3,0,0,4,2,23,0,2,2,0,1,0,0,0
2,42,1,0,7166,0,2,2,3,0,4,1,29,0,2,1,0,1,0,0,0
0,12,4,9,339,1,0,4,3,0,1,3,45,1,0,1,1,1,1,0,0
1,36,3,0,3804,1,1,4,1,0,1,3,42,0,0,1,0,1,0,0,1
0,6,0,2,1872,1,3,4,0,0,4,2,36,0,1,3,2,1,0,0,0
1,12,1,3,6078,1,2,2,0,0,2,3,32,0,0,1,0,1,1,0,0
1,18,1,3,5866,4,1,2,0,0,2,3,30,0,0,2,0,1,0,0,0
0,36,1,8,15857,1,3,2,2,2,3,3,43,0,0,1,2,1,1,0,0
3,24,0,5,1275,3,1,2,2,0,4,0,36,0,0,2,0,1,0,0,0
2,24,1,2,929,0,2,4,0,0,2,3,31,2,0,1,0,1,0,0,0
